muri_code,MRI,OpenAssistant,SuperNaturalInstructionv2,WikiHow,flan_v2_tulu,xP3
lao,11051,0,897,0,0,0
lat,13297,0,0,0,0,0
lav,15000,0,0,0,0,0
lij,7461,0,0,0,0,0
lim,7572,0,0,0,0,0
lin,679,0,0,0,0,4000
lit,15000,0,0,0,0,0
lmo,2516,0,0,0,0,0
ltz,15000,0,0,0,0,0
lug,3126,0,0,0,0,4000
mai,1359,0,0,0,0,0
mal,15000,0,3576,0,0,4000
mar,15000,0,3456,0,0,4000
mdf,1163,0,0,0,0,0
mkd,15000,0,0,0,0,0
mlg,15000,0,0,0,0,0
mlt,13537,0,0,0,0,0
mon,15000,0,0,0,0,0
mri,7064,0,0,0,0,0
msa,15000,0,1930,3637,0,4000
mwl,3183,0,0,0,0,0
mya,15000,0,443,0,0,0
myv,2889,0,0,0,0,0
nav,6056,0,0,0,0,0
nds,14923,0,0,0,0,0
nep,11456,0,200,0,0,4000
new,10297,0,0,0,0,0
nia,1253,0,0,0,0,0
nld,15000,0,3259,3601,0,0
nor,15000,0,200,0,0,0
nso,6854,0,0,0,0,4000
nya,948,0,0,0,0,4000
oci,15000,0,0,0,0,0
ori,15000,0,2775,0,0,4000
orm,1595,0,0,0,0,0
oss,13496,0,0,0,0,0
pag,1686,0,0,0,0,0
pan,15000,0,2688,0,0,4000
pap,2759,0,0,0,0,0
pol,15000,0,5557,0,0,0
por,15000,157,2862,1332,0,4000
pus,15000,0,0,0,0,0
que,5290,0,0,0,0,0
roh,2318,0,0,0,0,0
ron,15000,0,400,0,0,0
run,106,0,0,0,0,4000
rus,15000,713,2156,3547,0,0
sag,104,0,0,0,0,0
sah,14339,0,0,0,0,0
san,14168,0,0,0,0,0
scn,6681,0,0,0,0,0
shn,9647,0,0,0,0,0
sin,15000,0,400,0,0,0
slk,15000,0,0,0,0,0
slv,15000,0,0,0,0,0
sme,6622,0,0,0,0,0
smo,960,0,0,0,0,0
sna,8285,0,0,0,0,4000
snd,15000,0,0,0,0,0
som,7818,0,544,0,0,0
sot,731,0,0,0,0,4000
spa,15000,3698,12641,2751,0,4000
sqi,15000,0,0,0,0,0
srd,6229,0,0,0,0,0
srn,603,0,0,0,0,0
ssw,445,0,0,0,0,0
stq,1130,0,0,0,0,0
sun,112,0,0,0,0,0
swa,15000,0,1500,0,0,4000
swe,15000,0,1800,0,0,0
szl,5283,0,0,0,0,0
tam,15000,0,4565,0,0,4000
tat,15000,0,0,0,0,0
tel,15000,0,4914,0,0,4000
tgk,15000,0,0,0,0,0
tgl,0,0,514,0,0,0
tha,15000,157,2589,3660,0,0
tir,166,0,0,0,0,0
ton,1212,0,0,0,0,0
tsn,1187,0,0,0,0,4000
tso,629,0,0,0,0,4000
tuk,15000,0,0,0,0,0
tum,0,0,0,0,0,4000
tur,15000,0,1686,1324,0,0
tyv,1589,0,0,0,0,0
udm,2751,0,0,0,0,0
uig,15000,0,0,0,0,0
ukr,8435,0,0,0,0,0
urd,15000,0,2763,0,0,4000
uzb,10099,0,0,0,0,0
vec,6123,0,0,0,0,0
ven,646,0,0,0,0,0
vie,15000,0,2444,3643,0,4000
war,10854,0,0,0,0,0
wln,9545,0,0,0,0,0
wol,952,0,0,0,0,4000
xal,640,0,0,0,0,0
xho,1501,0,400,0,0,4000
yid,15000,0,0,0,0,0
yor,145,0,1800,0,0,4000
zha,0,0,128,0,0,0
zho,15000,370,6662,3598,0,4000
zul,8491,0,0,0,0,4000
