value,format,n_total,n_test,n_train,n_validation
cym,xxx (ISO 639-3-like),15000,750,13500,750
aze,xxx (ISO 639-3-like),15000,750,13500,750
kaz,xxx (ISO 639-3-like),15000,750,13500,750
lav,xxx (ISO 639-3-like),15000,750,13500,750
yid,xxx (ISO 639-3-like),15000,750,13500,750
afr,xxx (ISO 639-3-like),15000,750,13500,750
lit,xxx (ISO 639-3-like),15000,750,13500,750
pus,xxx (ISO 639-3-like),15000,750,13500,750
bel,xxx (ISO 639-3-like),15000,750,13500,750
dan,xxx (ISO 639-3-like),15000,750,13500,750
ell,xxx (ISO 639-3-like),15000,750,13500,750
amh,xxx (ISO 639-3-like),14954,748,13459,747
nds,xxx (ISO 639-3-like),14923,746,13431,746
chv,xxx (ISO 639-3-like),14503,725,13053,725
sah,xxx (ISO 639-3-like),14339,717,12905,717
san,xxx (ISO 639-3-like),14168,709,12751,708
ibo,xxx (ISO 639-3-like),14141,707,12727,707
mlt,xxx (ISO 639-3-like),13537,677,12183,677
oss,xxx (ISO 639-3-like),13496,675,12146,675
lat,xxx (ISO 639-3-like),13297,665,11967,665
zul,xxx (ISO 639-3-like),12491,625,11242,624
sna,xxx (ISO 639-3-like),12285,614,11057,614
lao,xxx (ISO 639-3-like),11948,598,10753,597
div,xxx (ISO 639-3-like),11822,591,10640,591
nso,xxx (ISO 639-3-like),10854,543,9769,542
war,xxx (ISO 639-3-like),10854,543,9769,542
ido,xxx (ISO 639-3-like),10382,519,9344,519
new,xxx (ISO 639-3-like),10297,515,9267,515
uzb,xxx (ISO 639-3-like),10099,505,9089,505
hat,xxx (ISO 639-3-like),9876,494,8888,494
shn,xxx (ISO 639-3-like),9647,483,8682,482
wln,xxx (ISO 639-3-like),9545,478,8590,477
hau,xxx (ISO 639-3-like),8939,447,8045,447
jav,xxx (ISO 639-3-like),8485,425,7636,424
ukr,xxx (ISO 639-3-like),8435,422,7592,421
som,xxx (ISO 639-3-like),8362,418,7526,418
kin,xxx (ISO 639-3-like),8237,412,7413,412
aka,xxx (ISO 639-3-like),8000,400,7200,400
ace,xxx (ISO 639-3-like),7777,389,6999,389
lim,xxx (ISO 639-3-like),7572,379,6815,378
kir,xxx (ISO 639-3-like),7464,373,6718,373
lij,xxx (ISO 639-3-like),7461,373,6715,373
hye,xxx (ISO 639-3-like),7259,363,6533,363
lug,xxx (ISO 639-3-like),7126,357,6413,356
arg,xxx (ISO 639-3-like),7108,356,6397,355
mri,xxx (ISO 639-3-like),7064,353,6358,353
fao,xxx (ISO 639-3-like),6739,337,6065,337
ban,xxx (ISO 639-3-like),6696,335,6026,335
scn,xxx (ISO 639-3-like),6681,334,6013,334
fry,xxx (ISO 639-3-like),6626,332,5963,331
sme,xxx (ISO 639-3-like),6622,331,5960,331
hif,xxx (ISO 639-3-like),6264,313,5638,313
srd,xxx (ISO 639-3-like),6229,312,5606,311
crh,xxx (ISO 639-3-like),6179,309,5561,309
bug,xxx (ISO 639-3-like),6151,308,5536,307
vec,xxx (ISO 639-3-like),6123,306,5511,306
nav,xxx (ISO 639-3-like),6056,303,5450,303
yor,xxx (ISO 639-3-like),5945,297,5351,297
xho,xxx (ISO 639-3-like),5901,295,5311,295
que,xxx (ISO 639-3-like),5290,265,4761,264
szl,xxx (ISO 639-3-like),5283,264,4755,264
kom,xxx (ISO 639-3-like),5268,264,4741,263
tsn,xxx (ISO 639-3-like),5187,259,4668,260
grn,xxx (ISO 639-3-like),5178,259,4660,259
wol,xxx (ISO 639-3-like),4952,247,4457,248
nya,xxx (ISO 639-3-like),4948,247,4453,248
sot,xxx (ISO 639-3-like),4731,236,4258,237
bam,xxx (ISO 639-3-like),4690,234,4221,235
lin,xxx (ISO 639-3-like),4679,234,4211,234
tso,xxx (ISO 639-3-like),4629,231,4166,232
fon,xxx (ISO 639-3-like),4329,216,3896,217
cos,xxx (ISO 639-3-like),4258,213,3832,213
chm,xxx (ISO 639-3-like),4107,206,3696,205
run,xxx (ISO 639-3-like),4106,205,3695,206
code,word(s) / name,4000,200,3600,200
kik,xxx (ISO 639-3-like),4000,200,3600,200
tum,xxx (ISO 639-3-like),4000,200,3600,200
bod,xxx (ISO 639-3-like),3679,184,3311,184
fur,xxx (ISO 639-3-like),3460,173,3114,173
bar,xxx (ISO 639-3-like),3411,171,3070,170
mwl,xxx (ISO 639-3-like),3183,159,2865,159
myv,xxx (ISO 639-3-like),2889,145,2600,144
pap,xxx (ISO 639-3-like),2759,138,2483,138
udm,xxx (ISO 639-3-like),2751,138,2476,137
glv,xxx (ISO 639-3-like),2594,130,2335,129
lmo,xxx (ISO 639-3-like),2516,126,2264,126
cor,xxx (ISO 639-3-like),2410,121,2169,120
roh,xxx (ISO 639-3-like),2318,116,2086,116
kas,xxx (ISO 639-3-like),2093,105,1884,104
krc,xxx (ISO 639-3-like),2089,105,1880,104
ilo,xxx (ISO 639-3-like),1892,95,1703,94
ava,xxx (ISO 639-3-like),1808,91,1627,90
aym,xxx (ISO 639-3-like),1757,88,1581,88
pag,xxx (ISO 639-3-like),1686,84,1517,85
orm,xxx (ISO 639-3-like),1595,79,1436,80
tyv,xxx (ISO 639-3-like),1589,79,1430,80
ful,xxx (ISO 639-3-like),1565,78,1409,78
kbp,xxx (ISO 639-3-like),1564,78,1408,78
mai,xxx (ISO 639-3-like),1359,68,1223,68
nia,xxx (ISO 639-3-like),1253,62,1128,63
ton,xxx (ISO 639-3-like),1212,60,1091,61
mdf,xxx (ISO 639-3-like),1163,58,1047,58
lah,xxx (ISO 639-3-like),1158,58,1042,58
stq,xxx (ISO 639-3-like),1130,56,1017,57
fij,xxx (ISO 639-3-like),992,49,893,50
smo,xxx (ISO 639-3-like),960,48,864,48
ewe,xxx (ISO 639-3-like),946,47,851,48
fil,xxx (ISO 639-3-like),929,46,836,47
haw,xxx (ISO 639-3-like),809,40,728,41
bis,xxx (ISO 639-3-like),781,39,703,39
ven,xxx (ISO 639-3-like),646,32,581,33
xal,xxx (ISO 639-3-like),640,32,576,32
alt,xxx (ISO 639-3-like),608,30,547,31
srn,xxx (ISO 639-3-like),603,30,543,30
kbd,xxx (ISO 639-3-like),572,28,515,29
tgl,xxx (ISO 639-3-like),514,25,463,26
dzo,xxx (ISO 639-3-like),505,25,455,25
awa,xxx (ISO 639-3-like),466,23,419,24
ssw,xxx (ISO 639-3-like),445,22,401,22
kon,xxx (ISO 639-3-like),377,19,339,19
chr,xxx (ISO 639-3-like),368,18,331,19
iku,xxx (ISO 639-3-like),292,14,263,15
din,xxx (ISO 639-3-like),284,14,256,14
jam,xxx (ISO 639-3-like),250,12,225,13
kal,xxx (ISO 639-3-like),210,10,189,11
guc,xxx (ISO 639-3-like),168,8,151,9
tir,xxx (ISO 639-3-like),166,8,149,9
zha,xxx (ISO 639-3-like),128,6,115,7
sun,xxx (ISO 639-3-like),112,5,101,6
sag,xxx (ISO 639-3-like),104,5,94,5
ady,xxx (ISO 639-3-like),104,5,94,5
