config,split,num_rows,num_bytes_parquet_files
mlg,train,13500,18634984
mlg,validation,750,1018039
mlg,test,750,959695
mlt,train,12183,42410836
mlt,validation,677,2320062
mlt,test,677,2091917
mon,train,13500,31086289
mon,validation,750,1762778
mon,test,750,1804989
mri,train,6358,1024592
mri,validation,353,62452
mri,test,353,60592
msa,train,22110,23509583
msa,validation,1229,1308366
msa,test,1228,1361550
mwl,train,2865,8068809
mwl,validation,159,556911
mwl,test,159,413187
mya,train,13899,26260204
mya,validation,772,1442884
mya,test,772,1512476
myv,train,2600,1388072
myv,validation,144,106191
myv,test,145,75066
nav,train,5450,1206891
nav,validation,303,88045
nav,test,303,73478
nds,train,13431,12974362
nds,validation,746,730604
nds,test,746,836917
nep,train,14090,23956453
nep,validation,783,1269424
nep,test,783,1417752
new,train,9267,6200249
new,validation,515,337378
new,test,515,333723
nia,train,1128,573579
nia,validation,63,72601
nia,test,62,35166
nld,train,19674,27720843
nld,validation,1093,1529088
nld,test,1093,1546024
nor,train,13680,17820356
nor,validation,760,976954
nor,test,760,981703
nso,train,9769,1411722
nso,validation,542,75973
nso,test,543,76247
nya,train,4453,1430128
nya,validation,248,82089
nya,test,247,85332
oci,train,13500,8184509
oci,validation,750,413512
oci,test,750,417630
ori,train,19597,27900607
ori,validation,1089,1628771
ori,test,1089,1586399
orm,train,1436,1533580
orm,validation,80,84748
orm,test,79,105768
oss,train,12146,15181687
oss,validation,675,951458
oss,test,675,950779
pag,train,1517,173025
pag,validation,85,13105
pag,test,84,14649
pan,train,19519,35464887
pan,validation,1084,1984570
pan,test,1085,2028378
pap,train,2483,1629540
pap,validation,138,124789
pap,test,138,71196
pol,train,18501,24243168
pol,validation,1028,1326000
pol,test,1028,1353724
por,train,21016,31504853
por,validation,1168,1744926
por,test,1167,1854460
pus,train,13500,37326156
pus,validation,750,1926066
pus,test,750,2039171
que,train,4761,1255526
que,validation,264,84077
que,test,265,89182
roh,train,2086,5183888
roh,validation,116,345165
roh,test,116,223392
ron,train,13860,25252864
ron,validation,770,1491101
ron,test,770,1438967
run,train,3695,1433178
run,validation,206,95209
run,test,205,90549
rus,train,19274,52582328
rus,validation,1070,3266966
rus,test,1072,2923883
sag,train,94,15926
sag,validation,5,5735
sag,test,5,5462
sah,train,12905,24415098
sah,validation,717,1406179
sah,test,717,1270091
san,train,12751,25904240
san,validation,708,1433531
san,test,709,1267637
scn,train,6013,2693504
scn,validation,334,143120
scn,test,334,122363
shn,train,8682,5272612
shn,validation,482,306691
shn,test,483,241521
sin,train,13860,44047312
sin,validation,770,2316528
sin,test,770,2819725
slk,train,13500,22348865
slk,validation,750,1224258
slk,test,750,1325079
slv,train,13500,31773308
slv,validation,750,2025674
slv,test,750,1886927
sme,train,5960,1549705
sme,validation,331,109349
sme,test,331,94303
smo,train,864,392033
smo,validation,48,41266
smo,test,48,22751
sna,train,11057,4326632
sna,validation,614,258710
sna,test,614,248014
snd,train,13500,30306414
snd,validation,750,1534336
snd,test,750,1706993
som,train,7526,6815826
som,validation,418,453793
som,test,418,345326
sot,train,4258,1301319
sot,validation,237,72693
sot,test,236,76174
spa,train,34281,48165504
spa,validation,1904,2656285
spa,test,1905,2675546
sqi,train,13500,19403918
sqi,validation,750,1067153
sqi,test,750,1004257
srd,train,5606,6323854
srd,validation,311,308838
srd,test,312,355995
srn,train,543,98779
srn,validation,30,11231
srn,test,30,21281
ssw,train,401,332990
ssw,validation,22,27826
ssw,test,22,23098
stq,train,1017,762537
stq,validation,57,56736
stq,test,56,51166
sun,train,101,51482
sun,validation,6,7254
sun,test,5,5405
swa,train,18450,11524694
swa,validation,1025,661170
swa,test,1025,601311
swe,train,15120,19881305
swe,validation,840,1088329
swe,test,840,1003440
szl,train,4755,804802
szl,validation,264,53817
szl,test,264,51975
tam,train,21208,38255827
tam,validation,1178,2120484
tam,test,1179,2358636
tat,train,13500,23469368
tat,validation,750,1276019
tat,test,750,1081561
tel,train,21523,46622027
tel,validation,1195,2469120
tel,test,1196,2546505
tgk,train,13500,24716757
tgk,validation,750,1203774
tgk,test,750,1391934
tgl,train,463,115746
tgl,validation,26,14118
tgl,test,25,11652
tha,train,19265,55160447
tha,validation,1071,3283754
tha,test,1070,2992146
tir,train,149,141612
tir,validation,9,13504
tir,test,8,20909
ton,train,1091,338245
ton,validation,61,24808
ton,test,60,22661
tsn,train,4668,1923565
tsn,validation,260,109700
tsn,test,259,114304
tso,train,4166,992830
tso,validation,232,57699
tso,test,231,53461
tuk,train,13500,10951171
tuk,validation,750,517974
tuk,test,750,604887
tum,train,3600,923706
tum,validation,200,60184
tum,test,200,59578
tur,train,16209,23745734
tur,validation,901,1359323
tur,test,900,1372978
tyv,train,1430,2474721
tyv,validation,80,133367
tyv,test,79,175226
udm,train,2476,1392007
udm,validation,137,86150
udm,test,138,77166
uig,train,13500,42952900
uig,validation,750,2174317
uig,test,750,2247235
ukr,train,7592,23312891
ukr,validation,421,1224838
ukr,test,422,1280903
urd,train,19587,32834342
urd,validation,1088,1788210
urd,test,1088,2069772
uzb,train,9089,14560729
uzb,validation,505,791274
uzb,test,505,724882
vec,train,5511,1778370
vec,validation,306,80440
vec,test,306,102277
ven,train,581,120228
ven,validation,33,18586
ven,test,32,12434
vie,train,22579,34259179
vie,validation,1254,2004465
vie,test,1254,1953295
war,train,9769,1559254
war,validation,542,92917
war,test,543,77431
wln,train,8590,4986281
wln,validation,477,292430
wln,test,478,297675
wol,train,4457,2000339
wol,validation,248,118247
wol,test,247,111648
xal,train,576,149211
xal,validation,32,11725
xal,test,32,10120
xho,train,5311,1858428
xho,validation,295,107195
xho,test,295,106370
yid,train,13500,32830436
yid,validation,750,1976045
yid,test,750,1818246
yor,train,5351,1203023
yor,validation,297,64652
yor,test,297,77655
zha,train,115,58103
zha,validation,7,12285
zha,test,6,16080
zho,train,26667,34964758
zho,validation,1481,2041893
zho,test,1482,1885866
zul,train,11242,3315495
zul,validation,624,195407
zul,test,625,192103
