config,split,num_rows,num_bytes_parquet_files
ckb_Arab,dev,997,142731
ckb_Arab,devtest,1012,152275
cmn_Hans,dev,997,115986
cmn_Hans,devtest,1012,121605
cmn_Hant,dev,997,112664
cmn_Hant,devtest,1012,120192
crh_Latn,dev,997,118858
crh_Latn,devtest,1012,126219
cym_Latn,dev,997,115828
cym_Latn,devtest,1012,124693
dan_Latn,dev,997,114936
dan_Latn,devtest,1012,123102
dar_Cyrl,dev,997,156817
deu_Latn,dev,997,125416
deu_Latn,devtest,1012,134454
dgo_Deva,dev,997,166100
dik_Latn,dev,997,104499
dik_Latn,devtest,1012,111932
dyu_Latn,dev,997,120667
dyu_Latn,devtest,1012,129532
dzo_Tibt,dev,997,177401
dzo_Tibt,devtest,1012,187016
ekk_Latn,dev,997,115419
ekk_Latn,devtest,1012,124267
ell_Grek,dev,997,169217
ell_Grek,devtest,1012,180845
eng_Latn,dev,997,109934
eng_Latn,devtest,1012,118900
epo_Latn,dev,997,111628
epo_Latn,devtest,1012,120509
eus_Latn,dev,997,113574
eus_Latn,devtest,1012,122951
ewe_Latn,dev,997,108753
ewe_Latn,devtest,1012,115498
fao_Latn,dev,997,116985
fao_Latn,devtest,1012,126043
fij_Latn,dev,997,109631
fij_Latn,devtest,1012,118401
fil_Latn,dev,997,123193
fil_Latn,devtest,1012,131933
fin_Latn,dev,997,121503
fin_Latn,devtest,1012,129720
fon_Latn,dev,997,123011
fon_Latn,devtest,1012,132223
fra_Latn,dev,997,126236
fra_Latn,devtest,1012,135313
fur_Latn,dev,997,119603
fur_Latn,devtest,1012,127841
fuv_Latn,dev,997,109950
fuv_Latn,devtest,1012,116728
gaz_Latn,dev,997,123214
gaz_Latn,devtest,1012,132108
gla_Latn,dev,997,125536
gla_Latn,devtest,1012,134966
gle_Latn,dev,997,126372
gle_Latn,devtest,1012,135198
glg_Latn,dev,997,121368
glg_Latn,devtest,1012,129516
gom_Deva,dev,997,157732
gug_Latn,dev,997,112876
gug_Latn,devtest,1012,120110
guj_Gujr,dev,997,159965
guj_Gujr,devtest,1012,171461
hat_Latn,dev,997,106215
hat_Latn,devtest,1012,113034
hau_Latn,dev,997,114548
hau_Latn,devtest,1012,121719
heb_Hebr,dev,997,123447
heb_Hebr,devtest,1012,131078
hin_Deva,dev,997,159225
hin_Deva,devtest,1012,170652
hne_Deva,dev,997,154821
hne_Deva,devtest,1012,166048
hrv_Latn,dev,997,117109
hrv_Latn,devtest,1012,124977
hun_Latn,dev,997,125624
hun_Latn,devtest,1012,134865
hye_Armn,dev,997,156133
hye_Armn,devtest,1012,166566
ibo_Latn,dev,997,116739
ibo_Latn,devtest,1012,126132
ilo_Latn,dev,997,120627
ilo_Latn,devtest,1012,128921
ind_Latn,dev,997,111478
ind_Latn,devtest,1012,119177
isl_Latn,dev,997,119074
isl_Latn,devtest,1012,127625
ita_Latn,dev,997,125006
ita_Latn,devtest,1012,134373
jav_Latn,dev,997,109592
jav_Latn,devtest,1012,118137
jpn_Jpan,dev,997,124492
jpn_Jpan,devtest,1012,133280
kaa_Latn,devtest,1012,124946
kab_Latn,dev,997,114747
kab_Latn,devtest,1012,123517
kac_Latn,dev,997,118321
kac_Latn,devtest,1012,128348
kam_Latn,dev,997,113368
kam_Latn,devtest,1012,121628
kan_Knda,dev,997,173091
kan_Knda,devtest,1012,182633
kas_Arab,dev,997,147075
kas_Arab,devtest,1012,157671
kas_Deva,dev,997,160963
kas_Deva,devtest,1012,174427
kat_Geor,dev,997,170399
kat_Geor,devtest,1012,180886
kaz_Cyrl,dev,997,146242
kaz_Cyrl,devtest,1012,157464
kbp_Latn,dev,997,122187
kbp_Latn,devtest,1012,129386
kea_Latn,dev,997,110879
kea_Latn,devtest,1012,119590
khk_Cyrl,dev,997,148318
khk_Cyrl,devtest,1012,158171
khk_Mong,devtest,1012,197642
khm_Khmr,dev,997,203505
khm_Khmr,devtest,1012,212366
kik_Latn,dev,997,123048
kik_Latn,devtest,1012,132150
kin_Latn,dev,997,117557
kin_Latn,devtest,1012,125850
kir_Cyrl,dev,997,148013
kir_Cyrl,devtest,1012,159938
kjh_Cyrl,dev,997,150876
kjh_Cyrl,devtest,1012,158805
kmb_Latn,dev,997,113812
kmb_Latn,devtest,1012,122871
kmr_Latn,dev,997,119797
kmr_Latn,devtest,1012,127524
knc_Arab,dev,997,129812
knc_Arab,devtest,1012,137820
knc_Latn,dev,997,116743
knc_Latn,devtest,1012,124232
kor_Hang,dev,997,123952
kor_Hang,devtest,1012,132707
ktu_Latn,dev,997,108398
ktu_Latn,devtest,1012,116519
lao_Laoo,dev,997,171101
lao_Laoo,devtest,1012,180831
lij_Latn,dev,997,123736
lij_Latn,devtest,1012,132981
lim_Latn,dev,997,117300
lim_Latn,devtest,1012,127262
lin_Latn,dev,997,103908
lin_Latn,devtest,1012,111833
lit_Latn,dev,997,120429
lit_Latn,devtest,1012,127862
lld_Latn,dev,997,119154
lld_Latn,devtest,1012,127944
lld_Latn_gard1241,dev,997,118210
lmo_Latn,dev,997,123583
lmo_Latn,devtest,1012,132477
ltg_Latn,dev,997,117793
ltg_Latn,devtest,1012,125949
ltz_Latn,dev,997,122270
ltz_Latn,devtest,1012,131239
lua_Latn,dev,997,110980
lua_Latn,devtest,1012,119790
lug_Latn,dev,997,115592
lug_Latn,devtest,1012,123952
luo_Latn,dev,997,111814
luo_Latn,devtest,1012,119802
lus_Latn,dev,997,114323
lus_Latn,devtest,1012,123828
lvs_Latn,dev,997,123043
lvs_Latn,devtest,1012,130839
mag_Deva,dev,997,152318
mag_Deva,devtest,1012,164040
mai_Deva,dev,997,156147
mai_Deva,devtest,1012,167595
mal_Mlym,dev,997,181711
mal_Mlym,devtest,1012,195371
mar_Deva,dev,997,166238
mar_Deva,devtest,1012,178463
mfe_Latn,dev,997,105761
mfe_Latn,devtest,1012,113702
mhr_Cyrl,dev,997,149303
mhr_Cyrl,devtest,1012,155171
min_Arab,dev,997,135781
min_Arab,devtest,1012,146707
min_Latn,dev,997,110796
min_Latn,devtest,1012,119757
mkd_Cyrl,dev,997,146768
mkd_Cyrl,devtest,1012,157341
mlt_Latn,dev,997,122819
mlt_Latn,devtest,1012,132380
mni_Beng,dev,997,160647
mni_Beng,devtest,1012,173440
mni_Mtei,dev,997,152065
mos_Latn,dev,997,113250
mos_Latn,devtest,1012,120839
mri_Latn,dev,997,111171
mri_Latn,devtest,1012,119245
mya_Mymr,dev,997,184364
mya_Mymr,devtest,1012,196273
myv_Cyrl,dev,997,148938
myv_Cyrl,devtest,1012,156122
nld_Latn,dev,997,118449
nld_Latn,devtest,1012,127406
nno_Latn,dev,997,113820
nno_Latn,devtest,1012,122042
nob_Latn,dev,997,111525
nob_Latn,devtest,1012,119660
nob_Latn_radical,dev,997,111708
nob_Latn_radical,devtest,1012,120260
npi_Deva,dev,997,158835
npi_Deva,devtest,1012,170957
nqo_Nkoo,dev,997,159274
nqo_Nkoo,devtest,1012,170739
nso_Latn,dev,997,117267
nso_Latn,devtest,1012,125466
nus_Latn,dev,997,121744
nus_Latn,devtest,1012,130602
nya_Latn,dev,997,115124
nya_Latn,devtest,1012,123442
oci_Latn,dev,997,122519
oci_Latn,devtest,1012,131233
oci_Latn_aran1260,dev,997,124919
oci_Latn_aran1260,devtest,1012,133426
ory_Orya,dev,997,167238
ory_Orya,devtest,1012,179366
pag_Latn,dev,997,109154
pag_Latn,devtest,1012,115638
pan_Guru,dev,997,163776
pan_Guru,devtest,1012,176024
pap_Latn,dev,997,114128
pap_Latn,devtest,1012,122302
pbt_Arab,dev,997,142730
pbt_Arab,devtest,1012,147136
pes_Arab,dev,997,138275
pes_Arab,devtest,1012,147638
plt_Latn,dev,997,118294
plt_Latn,devtest,1012,126246
pol_Latn,dev,997,127143
pol_Latn,devtest,1012,135650
por_Latn,dev,997,119961
por_Latn,devtest,1012,128523
prs_Arab,dev,997,133038
prs_Arab,devtest,1012,142985
quy_Latn,dev,997,111829
quy_Latn,devtest,1012,120241
ron_Latn,dev,997,125071
ron_Latn,devtest,1012,134470
run_Latn,dev,997,118612
run_Latn,devtest,1012,127768
rus_Cyrl,dev,997,161179
rus_Cyrl,devtest,1012,170102
sag_Latn,dev,997,105504
sag_Latn,devtest,1012,112764
san_Deva,dev,997,162509
san_Deva,devtest,1012,173392
sat_Olck,dev,997,162511
sat_Olck,devtest,1012,173460
scn_Latn,dev,997,120084
scn_Latn,devtest,1012,128046
shn_Mymr,dev,997,211710
shn_Mymr,devtest,1012,225944
sin_Sinh,dev,997,172317
sin_Sinh,devtest,1012,182573
slk_Latn,dev,997,125321
slk_Latn,devtest,1012,133416
slv_Latn,dev,997,116925
slv_Latn,devtest,1012,125540
smo_Latn,dev,997,114750
smo_Latn,devtest,1012,122767
sna_Latn,dev,997,117016
sna_Latn,devtest,1012,125487
snd_Arab,dev,997,132284
snd_Arab,devtest,1012,142911
snd_Deva,dev,997,166279
som_Latn,dev,997,123601
som_Latn,devtest,1012,134345
sot_Latn,dev,997,119364
sot_Latn,devtest,1012,127351
spa_Latn,dev,997,126848
spa_Latn,devtest,1012,135699
srd_Latn,dev,997,121025
srd_Latn,devtest,1012,129480
srp_Cyrl,dev,997,146348
srp_Cyrl,devtest,1012,157048
ssw_Latn,dev,997,118548
ssw_Latn,devtest,1012,126952
sun_Latn,dev,997,113569
sun_Latn,devtest,1012,121490
swe_Latn,dev,997,115048
swe_Latn,devtest,1012,122950
swh_Latn,dev,997,110790
swh_Latn,devtest,1012,119056
szl_Latn,dev,997,123923
szl_Latn,devtest,1012,133858
tam_Taml,dev,997,176687
tam_Taml,devtest,1012,190000
taq_Latn,dev,997,113899
taq_Latn,devtest,1012,121913
taq_Tfng,dev,997,150074
taq_Tfng,devtest,1012,160353
tat_Cyrl,dev,997,147063
tat_Cyrl,devtest,1012,157213
tel_Telu,dev,997,168652
tel_Telu,devtest,1012,178715
tgk_Cyrl,dev,997,155108
tgk_Cyrl,devtest,1012,165388
tha_Thai,dev,997,170195
tha_Thai,devtest,1012,182700
tir_Ethi,dev,997,146899
tir_Ethi,devtest,1012,157599
tpi_Latn,dev,997,111545
tpi_Latn,devtest,1012,119460
tsn_Latn,dev,997,124023
tsn_Latn,devtest,1012,131835
tso_Latn,dev,997,117646
tso_Latn,devtest,1012,125943
tuk_Latn,dev,997,120493
tuk_Latn,devtest,1012,128593
tum_Latn,dev,997,122683
tum_Latn,devtest,1012,132172
tur_Latn,dev,997,119139
tur_Latn,devtest,1012,127753
twi_Latn_akua1239,dev,997,109512
twi_Latn_akua1239,devtest,1012,118185
twi_Latn_asan1239,dev,997,111996
twi_Latn_asan1239,devtest,1012,120777
tyv_Cyrl,dev,997,158593
tyv_Cyrl,devtest,1012,165466
udm_Cyrl,dev,997,156156
uig_Arab,dev,997,147876
uig_Arab,devtest,1012,159150
ukr_Cyrl,dev,997,154754
ukr_Cyrl,devtest,1012,165532
umb_Latn,dev,997,108319
umb_Latn,devtest,1012,117047
urd_Arab,dev,997,143288
urd_Arab,devtest,1012,152444
uzn_Latn,dev,997,118303
uzn_Latn,devtest,1012,126625
uzs_Arab,dev,997,145897
vec_Latn,dev,997,115564
vec_Latn,devtest,1012,124426
vie_Latn,dev,997,126261
vie_Latn,devtest,1012,134870
vmw_Latn,dev,997,118520
vmw_Latn,devtest,1012,131432
war_Latn,dev,997,120457
war_Latn,devtest,1012,129296
wol_Latn,dev,997,115093
wol_Latn,devtest,1012,124480
wuu_Hans,dev,997,112031
xho_Latn,dev,997,118754
xho_Latn,devtest,1012,126488
ydd_Hebr,dev,997,146281
ydd_Hebr,devtest,1012,156185
yor_Latn,dev,997,129456
yor_Latn,devtest,1012,136887
yue_Hant,dev,997,109493
yue_Hant,devtest,1012,116509
zgh_Tfng,dev,997,152308
zgh_Tfng,devtest,1012,163278
zsm_Latn,dev,997,112904
zsm_Latn,devtest,1012,120804
zul_Latn,dev,997,118517
zul_Latn,devtest,1012,127850
